Date,Open,High,Low,Close,Adj. Close,Change,Volume
2025-09-19,128.28,128.55,126.02,126.32,126.32,-1.02,2827790
2025-09-18,127.76,128.54,126.76,127.62,127.62,0.71,1513336
2025-09-17,127.72,130.08,126.38,126.72,126.72,-0.37,1921728
2025-09-16,125.63,127.58,125.02,127.19,127.19,1.24,1721123
2025-09-15,123.99,126.41,123.7,125.63,125.63,1.94,2084922
2025-09-12,126.45,126.53,123.13,123.24,123.24,-2.75,1250891
2025-09-11,125.51,127.05,124.87,126.73,126.73,2.1,1474119
2025-09-10,125.92,126.72,124.01,124.12,124.12,-1.69,1669516
2025-09-09,128.1,128.27,125.85,126.25,126.25,-1.47,1470310
2025-09-08,127.48,128.42,126.28,128.13,128.13,-0.48,2136444
2025-09-05,128.72,131.0,128.39,128.75,128.75,0.21,1633203
2025-09-04,125.0,128.83,123.8,128.48,128.48,2.6,2715490
2025-09-03,124.96,125.83,123.72,125.22,125.22,0.01,2496977
2025-09-02,124.88,125.52,121.8,125.21,125.21,-0.36,2412797
2025-08-29,125.0,126.3,124.11,125.66,125.66,0.56,1781215
2025-08-28,118.8,125.42,118.2,124.96,124.96,5.28,3886441
2025-08-27,118.5,119.2,117.51,118.69,118.69,0.33,1698630
2025-08-26,119.23,119.63,118.11,118.3,118.3,-0.71,1898309
2025-08-25,121.5,121.69,118.48,119.15,119.15,-2.04,1482531
2025-08-22,118.27,122.41,117.47,121.63,121.63,3.82,1290989
2025-08-21,118.49,118.7,117.03,117.15,117.15,-1.65,744734
2025-08-20,119.87,120.46,118.28,119.11,119.11,-0.83,1431859
2025-08-19,118.5,120.59,118.15,120.11,120.11,1.66,1313481
2025-08-18,119.12,119.6,118.15,118.15,118.15,-0.88,1021103
2025-08-15,119.61,119.96,118.49,119.2,119.2,0.28,1238471
2025-08-14,119.23,119.41,118.15,118.87,118.87,-1.18,926367
2025-08-13,118.06,120.4,117.86,120.29,120.29,2.53,983597
2025-08-12,114.51,117.37,114.4,117.32,117.32,2.8,917388
2025-08-11,115.04,115.67,113.73,114.13,114.13,-0.43,1082339
2025-08-08,114.31,115.0,113.39,114.62,114.62,0.56,1129762
2025-08-07,114.5,114.92,113.16,113.98,113.98,0.66,1157465
2025-08-06,115.08,115.08,112.56,113.23,113.23,-1.44,1058665
2025-08-05,114.81,115.43,114.25,114.89,114.89,0.04,1271053
2025-08-04,113.17,115.03,112.01,114.84,114.84,1.18,1343207
2025-08-01,113.45,114.32,111.19,113.5,113.5,-1.14,1888649
2025-07-31,116.57,118.34,114.47,114.81,114.81,-2.74,2339514
2025-07-30,120.24,120.46,117.23,118.05,118.05,-1.49,979111
2025-07-29,119.75,120.51,118.86,119.84,119.84,0.25,1212204
2025-07-28,119.41,120.77,118.72,119.54,119.54,-0.53,1679152
2025-07-25,120.5,121.01,119.02,120.18,120.18,-0.14,1972730
2025-07-24,119.43,122.75,119.43,120.35,120.35,0.74,1602812
2025-07-23,119.38,120.79,117.48,119.47,119.47,2.82,1939728
2025-07-22,112.85,117.05,112.14,116.19,116.19,3.7,1692114
2025-07-21,113.23,113.66,110.75,112.04,112.04,-1.71,2060791
2025-07-18,116.82,117.2,113.53,113.99,113.99,-2.04,1521861
2025-07-17,114.1,116.57,113.25,116.36,116.36,2.58,1552869
2025-07-16,113.46,114.46,111.86,113.43,113.43,0.43,2248845
2025-07-15,118.0,119.76,111.93,112.94,112.94,-5.95,3950858
2025-07-14,121.84,121.86,119.27,120.08,120.08,-2.6,2028729
2025-07-11,122.93,123.66,122.34,123.28,123.28,-0.72,1382971
